descripcion,edicion,titulo,url_peli
"
Álvaro quiere ser escritor, pero todo lo que escribe es falso, pretencioso, insípido. Trabaja como escribiente en una notaría de Sevilla y su vida es gris, coloreada sólo por sus sueños. Su mujer, Amanda, es todo lo contrario.
Siempre ha tenido los pies en la tierra y nunca ha soñado con ser escritora. Sin embargo, es ella la que se pone a escribir y le sale un best-seller. Ironías de la vida.
La separación es inevitable. Y en ese momento, Álvaro decide afrontar su sueño: escribir una gran novela. Pero es incapaz; no tiene talento ni
imaginación. Guiado por Juan, su profesor de escritura, indaga en los fundamentos de la novela, hasta que un día descubre que la ficción se escribe con la realidad. Álvaro comienza a manipular a sus vecinos y amistades para crear una historia, una historia real que supera a la ficción.
",32,"
						El autor					",https://www.premiosgoya.com/pelicula/el-autor
"
Frida, una niña de seis años, afronta el primer verano de su vida con su nueva família adoptiva, tras la muerte de su madre.
",32,"
						Estiu 1993					",https://www.premiosgoya.com/pelicula/estiu-1993
"
Tras haber luchado en la Primera Guerra Carlista, Martín vuelve a su caserío familiar en Gipuzkoa y allí descubre con sorpresa que su hermano menor, Joaquín, es mucho más alto de lo normal. Convencido de que todo el mundo querrá pagar por ver al hombre más grande sobre la Tierra, ambos hermanos se embarcan en un largo viaje por Europa en el que la ambición, el dinero y la fama cambiarán para siempre el destino de la familia. Una historia inspirada en hechos reales.
",32,"
						Handia					",https://www.premiosgoya.com/pelicula/handia
"
A finales de los años 50 Florence Green decide hacer realidad uno de sus mayores sueños: abandonar Londres y abrir una pequeña librería en un pueblo de la costa británica. Pero para su sorpresa, esta decisión desatará todo tipo de reacciones entre los habitantes de la localidad.
",32,"
						La librería					",https://www.premiosgoya.com/pelicula/la-libreria
"
Madrid, años 90. En plena noche, la policía recibe una llamada. Entre gritos de terror, unos niños alertan de la presencia de fenómenos extraños en su piso, en el corazón de una barriada obrera. Dos días antes, Verónica, la hermana mayor, ha jugado en el instituto con una tabla Ouija. Sin saberlo, acaba de abrir la puerta a algo sobrenatural, inexplicable, que en las siguientes horas se instalará en su casa, volviéndose cada vez más incontrolable, y, sobre todo, muy muy peligroso.
",32,"
						Verónica					",https://www.premiosgoya.com/pelicula/veronica
"
1969. América Rural. Cuatro jóvenes hermanos, Jack, Billy, Jane y el pequeño Sam y su madre, Rose, llegan a Marrowbone, una casa americana abandonada. Huyeron de Inglaterra dejando atrás a un padre violento y un pasado criminal, esperando empezar una nueva vida en un lugar donde nadie les conoce. Pronto entablan amistad con Allie, una chica local que trae luz a sus tristes vidas. Pero Rose muere de manera inesperada, dejando a sus hijos solos y sin recursos. Los hermanos deciden enterrar a su madre en el jardín y mantener su muerte en secreto para que no puedan separarles o mandarles de vuelta a Inglaterra. Pero mientras intentan sobrevivir sin la supervisión de un adulto, escondiéndose del mundo y sin otro lugar adonde ir, una amenazante presencia empieza a rondar la vieja casa.
",32,"
						El secreto de Marrowbone					",https://www.premiosgoya.com/pelicula/el-secreto-de-marrowbone
"
Cinco mujeres pasan el verano en el campamento cristiano La Brújula, un campamento aislado, vacío y rodeado de naturaleza. Llamadas divinas y terrenales cambiarán sus vidas para siempre.
",32,"
						La llamada					",https://www.premiosgoya.com/pelicula/la-llamada
"
Carla recibe una llamada de su hermana: su padre, con el que hace tiempo que no se habla, está enfermo. Ese mismo día, Carla coge un vuelo a Almería, a la casa de su infancia. Allí, los médicos le dan a su padre pocos meses de vida. Ella se niega a aceptarlo. Contra la opinión de todos, decide llevárselo a Barcelona para tratarle. Ambos emprenden un viaje para intentar escapar de la enfermedad y la muerte. Y es en esa huida donde se terminarán encontrando, donde finalmente se podrán decir adiós.
",32,"
						No sé decir adiós					",https://www.premiosgoya.com/pelicula/no-se-decir-adios
"
Carmen (Maribel Verdú) y Carlos (Antonio de la Torre) son una pareja del extrarradio de Madrid. Ella, ama de casa entregada a su familia. Él, un gruista que vive por y para el Real Madrid. Resignados a la rutina, todo cambia el día de la boda del sobrino de éstos. Durante la celebración, Pepe (José Mota), primo de Carmen e hipnotista aficionado, hace una demostración, a la que Carlos, incrédulo, se presta como voluntario. A la mañana siguiente, Carlos se comporta de una manera insólita. Parece que algo salió mal, un espíritu le ha poseído. Empieza entonces una surrealista y divertida investigación por parte de los primos para recuperarlo. Mientras, Carmen comienza a sentirse extrañamente atraída por su “nuevo” marido.
",32,"
						Abracadabra					",https://www.premiosgoya.com/pelicula/abracadabra
"
Frente de Aragón, 1937. Lluís (Marcel Borràs), un joven oficial republicano, destinado a un puesto temporalmente inactivo, conoce a una enigmática viuda de la que se enamora. Carlana (Núria Prims) logra embaucarlo para falsificar un documento que la convierte en la Señora de la comarca.
El mejor amigo de Lluís, Soleràs (Oriol Pla), un oficial degradado, descubre el fraude y a cambio de no delatarlo, le exige que aleje de los bombardeos de Barcelona a su hijo y a su mujer, de la que él está secretamente enamorado.
Cuando Trini (Bruna Cusí) llega al pueblo, no tarda en descubrir la traición de Lluís y se instaura entre ellos un “estado de guerra”, que hará tambalear todos sus cimientos morales.
Una película donde el trasfondo de una guerra hace aflorar las pasiones humanas con toda su intensidad.
",32,"
						Incierta gloria					",https://www.premiosgoya.com/pelicula/incierta-gloria
"
En una cumbre de presidentes latinoamericanos en Chile, donde se definen las estrategias y alianzas geopolíticas de la región, Hernán Blanco, el presidente argentino, vive un drama político y familiar que le hará enfrentarse a sus propios demonios. Deberá tomar dos decisiones que podrían cambiar el curso de su vida en el orden público y privado: por un lado, una complicada situación emocional con su hija, y por otro, la decisión política más importante de su carrera.
",32,"
						La cordillera					",https://www.premiosgoya.com/pelicula/la-cordillera
"
A un convoy americano escoltado por la Legión española le estalla una mina al Norte de Afganistán y el inexperto Teniente Conte queda al mando de una dotación para proteger a los heridos hasta que los evacuen. La Capitán médico Varela acude al rescate en un helicóptero medicalizado del Ejército Español, pero el terreno cede durante el aterrizaje y el helicóptero vuelca, dejando a los rescatadores atrapados junto a los legionarios en medio de la nada. El impulsivo Comandante Ledesma propone un arriesgado plan para rescatarlos a todos y, además, llevarse el aparato siniestrado. Pero con la noche llega el enemigo y el plan sólo será posible si el Teniente y la Capitán logran sobrevivir hasta el amanecer.
",32,"
						Zona hostil					",https://www.premiosgoya.com/pelicula/zona-hostil
"
Cuando Virginia conoce a Pablo Escobar ignora que todo está a punto de cambiar para siempre en su vida, pero también en la de Colombia. Conocida periodista y presentadora de televisión, Virginia Vallejo fue su amante y su confidente. La suya es por tanto una mirada cercana, privilegiada, sobre el pensamiento del hombre que cambió la historia criminal del siglo XX. Un viaje desde la luz deslumbrante de sus días como congresista y
narcotraficante, a la oscuridad de los años más oscuros y violentos de la guerra que desató contra el Estado colombiano. Una mirada al universo de terror y desesperación que generó, pero también al que lo hizo posible. Un acceso directo al interior de una de las mentes criminales más lúcidas de todos los tiempos.
Loving Pablo es el relato desesperado de una superviviente. Sobre lafascinación y el deslumbramiento, pero también sobre la desmesura y el espanto de una de las décadas más violentas de la historia reciente, de la que ella fue parte y testigo.
",32,"
						Loving Pablo					",https://www.premiosgoya.com/pelicula/loving-pablo
"
Las vidas de Luis y Marta se ven abruptamente paralizadas. Las mentiras, la culpa y el miedo ponen a prueba la estabilidad y el amor de la pareja.
",32,"
						Morir					",https://www.premiosgoya.com/pelicula/morir
"
Carlos (18 años) está empezando la carrera de derecho. Su novia Laura (16 años) va al instituto. A pesar de su juventud, su amor les lleva a experimentar sexualmente más allá de lo socialmente aceptado.
Sin embargo, las familias de ambos son un impedimento para que puedan vivir libremente este amor desmesurado.
Por un lado, Laura es hija de padres separados. Su madre, Merche (35 años), la tuvo muy joven y no quiere que
cometa sus mismos errores de juventud. Desde que se han mudado a la ciudad, con el nuevo novio de Merche, la relación de Laura con su madre ha cambiado, y la chica echa de menos cuando vivían en el pueblo y eran
verdaderas amigas.
Por otro lado, la familia de Carlos, más tradicional, intenta apoyarle como puede, preocupada porque siga sus estudios.
Carlos propone a Laura fugarse juntos pero ella, en un primer momento entusiasmada, pronto se echa atrás, mientras sus nuevas amigas empiezan a ocupar cada vez más espacio en su relación.
A pesar de sus reconciliaciones, las diferencias en la pareja comienzan a hacerse cada vez más visibles, en una constante lucha por estar juntos aunque la realidad les vaya separando.
",32,"
						Amar					",https://www.premiosgoya.com/pelicula/amar
"
Sigue la historia de personas físicamente diferentes que, por ese motivo, se han visto obligadas a esconderse, recluirse o unirse entre ellas. Nadie elige cómo nace, pero la apariencia física nos condiciona en la sociedad, aunque no la hayamos elegido nosotros.
",32,"
						Pieles					",https://www.premiosgoya.com/pelicula/pieles
"
",32,"
						Selfie					",https://www.premiosgoya.com/pelicula/selfie
"
Basada en un relato del escritor Arturo Pérez- Reverte,
inspirada en las expediciones de los conquistadores españoles del siglo XVI (la de Lope de Aguirre, la de Núñez de Balboa), ORO cuenta una de esas duras expediciones a través de la selva centroamericana, hacia el año 1540, en busca de una ciudad india mítica que, según se dice, está toda hecha de oro.
",32,"
						Oro					",https://www.premiosgoya.com/pelicula/oro
"
Nueve de la mañana. Un grupo de personas absolutamente heterogéneo desayuna en un bar en el centro de Madrid. Uno de ellos tiene prisa; al salir por la puerta recibe un disparo en la cabeza. Nadie se atreve a socorrerle. Están atrapados.
",32,"
						El bar					",https://www.premiosgoya.com/pelicula/el-bar
