;titulo;edicion;nom_mejor_pelicula;gana_mejor_pelicula;nom_mejor_direc;gana_mejor_direc
0;El autor;32;1;0;1;0
1;Estiu 1993;32;1;0;0;0
2;Handia;32;1;0;1;0
3;La librería;32;1;1;1;1
4;Verónica;32;1;0;1;0
5;El secreto de Marrowbone;32;0;0;0;0
6;La llamada;32;0;0;0;0
7;No sé decir adiós;32;0;0;0;0
8;Abracadabra;32;0;0;0;0
9;Incierta gloria;32;0;0;0;0
10;La cordillera;32;0;0;0;0
11;Zona hostil;32;0;0;0;0
12;Loving Pablo;32;0;0;0;0
13;Morir;32;0;0;0;0
14;Amar;32;0;0;0;0
15;Pieles;32;0;0;0;0
16;Selfie;32;0;0;0;0
17;Oro;32;0;0;0;0
18;El bar;32;0;0;0;0
19;Deep;32;0;0;0;0
20;Nur eta Herensugearen tenplua;32;0;0;0;0
21;Tadeo Jones 2. El secreto del Rey Midas;32;0;0;0;0
22;Cantábrico, los dominios del oso pardo;32;0;0;0;0
23;Dancing Beethoven;32;0;0;0;0
24;Muchos hijos, un mono y un castillo;32;0;0;0;0
25;Saura(s);32;0;0;0;0
26;Amazona;32;0;0;0;0
27;Tempestad;32;0;0;0;0
28;Una mujer fantástica;32;0;0;0;0
29;Zama;32;0;0;0;0
30;C’est la vie!;32;0;0;0;0
31;Lady Macbeth;32;0;0;0;0
32;The Square;32;0;0;0;0
33;Toni Erdmann;32;0;0;0;0
34;Australia;32;0;0;0;0
35;Baraka;32;0;0;0;0
36;Como yo te amo;32;0;0;0;0
37;Extraños en la carretera;32;0;0;0;0
38;Madre;32;0;0;0;0
39;Los desheredados;32;0;0;0;0
40;Primavera rosa en México;32;0;0;0;0
41;The Fourth Kingdom;32;0;0;0;0
42;Tribus de la Inquisición;32;0;0;0;0
43;Colores;32;0;0;0;0
44;El ermitaño;32;0;0;0;0
45;Un día en el parque;32;0;0;0;0
46;Woody & Woody;32;0;0;0;0
47;El hombre de las mil caras;31;1;0;1;0
48;Julieta;31;1;0;1;0
49;Que Dios nos perdone;31;1;0;1;0
50;Tarde para la ira;31;1;1;0;0
51;Un monstruo viene a verme;31;1;0;1;1
52;1898. Los últimos de Filipinas;31;0;0;0;0
53;El rey tuerto;31;0;0;0;0
54;María (y los demás);31;0;0;0;0
55;Cien años de perdón;31;0;0;0;0
56;El olivo;31;0;0;0;0
57;KIKI, el amor se hace;31;0;0;0;0
58;Bollywood Made in Spain;31;0;0;0;0
59;Cerca de tu casa;31;0;0;0;0
60;Frágil equilibrio;31;0;0;0;0
61;La puerta abierta;31;0;0;0;0
62;La reina de España;31;0;0;0;0
63;100 metros;31;0;0;0;0
64;La próxima piel;31;0;0;0;0
65;No culpes al karma de lo que te pasa por gilipollas;31;0;0;0;0
66;Ozzy;31;0;0;0;0
67;Gernika. The Movie;31;0;0;0;0
68;Psiconautas, los niños olvidados;31;0;0;0;0
69;Teresa eta Galtzagorri (Teresa y Tim);31;0;0;0;0
70;2016. Nacido en Siria;31;0;0;0;0
71;El Bosco. El jardín de los sueños;31;0;0;0;0
72;Omega;31;0;0;0;0
73;Anna;31;0;0;0;0
74;Desde allá;31;0;0;0;0
75;El ciudadano ilustre;31;0;0;0;0
76;Las elegidas;31;0;0;0;0
77;El editor de libros;31;0;0;0;0
78;El hijo de Saúl;31;0;0;0;0
79;Elle;31;0;0;0;0
80;Yo, Daniel Blake;31;0;0;0;0
81;Bla, Bla, Bla;31;0;0;0;0
82;En la azotea;31;0;0;0;0
83;Graffiti;31;0;0;0;0
84;La invitación;31;0;0;0;0
85;Timecode;31;0;0;0;0
86;Cabezas Habladoras;31;0;0;0;0
87;Esperanza;31;0;0;0;0
88;Palabras de Caramelo;31;0;0;0;0
89;The Resurrection Club;31;0;0;0;0
90;Darrel;31;0;0;0;0
91;Decorado;31;0;0;0;0
92;Made in Spain;31;0;0;0;0
93;Uka;31;0;0;0;0
94;A cambio de nada;30;1;0;0;0
95;La novia;30;1;0;1;0
96;Nadie quiere la noche;30;1;0;1;0
97;Truman;30;1;1;1;1
98;Un día perfecto;30;1;0;1;0
99;El desconocido;30;0;0;0;0
100;Requisitos para ser una persona normal;30;0;0;0;0
101;Techo y comida;30;0;0;0;0
102;Negociador;30;0;0;0;0
103;B;30;0;0;0;0
104;El Rey de La Habana;30;0;0;0;0
105;El teatro del más allá. Chavín de Huántar;30;0;0;0;0
106;ma ma;30;0;0;0;0
107;El país del miedo;30;0;0;0;0
108;Matar el tiempo;30;0;0;0;0
109;Palmeras en la nieve;30;0;0;0;0
110;Felices 140;30;0;0;0;0
111;Isla bonita;30;0;0;0;0
112;Amama;30;0;0;0;0
113;Un otoño sin Berlín;30;0;0;0;0
114;Mi gran noche;30;0;0;0;0
115;Anacleto: agente secreto;30;0;0;0;0
116;Tiempo sin aire;30;0;0;0;0
117;Atrapa la bandera;30;0;0;0;0
118;Meñique;30;0;0;0;0
119;Noche ¿de Paz? – Holy Night!;30;0;0;0;0
120;Yoko eta lagunak (Yoko y sus amigos);30;0;0;0;0
121;Chicas nuevas 24 horas;30;0;0;0;0
122;I am your Father;30;0;0;0;0
123;Sueños de sal;30;0;0;0;0
124;The Propaganda Game;30;0;0;0;0
125;El clan;30;0;0;0;0
126;La Once;30;0;0;0;0
127;Magallanes;30;0;0;0;0
128;Vestido de novia;30;0;0;0;0
129;Camino a la escuela;30;0;0;0;0
130;Leviatán;30;0;0;0;0
131;Macbeth;30;0;0;0;0
132;Mustang;30;0;0;0;0
133;Cordelias;30;0;0;0;0
134;El corredor;30;0;0;0;0
135;El Trueno Rojo;30;0;0;0;0
136;Inside the Box;30;0;0;0;0
137;Os meninos do rio;30;0;0;0;0
138;Hijos de la Tierra;30;0;0;0;0
139;Regreso a la Alcarria;30;0;0;0;0
140;Ventanas;30;0;0;0;0
141;Viento de atunes;30;0;0;0;0
142;Alike;30;0;0;0;0
143;Honorio. Dos minutos de sol;30;0;0;0;0
144;La noche del océano;30;0;0;0;0
145;Víctimas de Guernica;30;0;0;0;0
146;El Niño;29;1;0;1;0
147;La isla mínima;29;1;1;1;1
148;Loreak;29;1;0;0;0
149;Magical Girl;29;1;0;1;0
150;Relatos salvajes;29;1;0;1;0
151;10.000 Km;29;0;0;0;0
152;Musarañas;29;0;0;0;0
153;Paco de Lucía: la búsqueda;29;0;0;0;0
154;Todos están muertos;29;0;0;0;0
155;A esmorga;29;0;0;0;0
156;Anochece en la India;29;0;0;0;0
157;Mortadelo y Filemón contra Jimmy el Cachondo;29;0;0;0;0
158;Rastres de sàndal;29;0;0;0;0
159;Haz de tu vida una obra de arte;29;0;0;0;0
160;Ocho apellidos vascos;29;0;0;0;0
161;Marsella;29;0;0;0;0
162;Carmina y amén;29;0;0;0;0
163;Hermosa juventud;29;0;0;0;0
164;Autómata;29;0;0;0;0
165;Por un puñado de besos;29;0;0;0;0
166;Open Windows;29;0;0;0;0
167;Torrente 5, Operación Eurovegas;29;0;0;0;0
168;Dixie y la rebelión zombi (Dixie eta matxinada zonbia);29;0;0;0;0
169;La tropa de trapo en la selva del arcoíris;29;0;0;0;0
170;2014. Nacido en Gaza;29;0;0;0;0
171;Edificio España;29;0;0;0;0
172;El último adiós de Bette Davis;29;0;0;0;0
173;Conducta;29;0;0;0;0
174;Kaplan;29;0;0;0;0
175;La distancia más larga;29;0;0;0;0
176;Dios mío, ¿pero qué te hemos hecho?;29;0;0;0;0
177;El abuelo que saltó por la ventana y se largó;29;0;0;0;0
178;Ida;29;0;0;0;0
179;La sal de la Tierra;29;0;0;0;0
180;Café para llevar;29;0;0;0;0
181;Loco con ballesta;29;0;0;0;0
182;Safari;29;0;0;0;0
183;Todo un futuro juntos;29;0;0;0;0
184;Trato preferente;29;0;0;0;0
185;El domador de peixos;29;0;0;0;0
186;El último abrazo;29;0;0;0;0
187;La máquina de los rusos;29;0;0;0;0
188;Walls (Si estas paredes hablasen);29;0;0;0;0
189;A Lifestory;29;0;0;0;0
190;A lonely sun story;29;0;0;0;0
191;El señor del abrigo interminable;29;0;0;0;0
192;Juan y la nube;29;0;0;0;0
